Sesso;Età;Osservazione
Totale;44 anni;805469
Totale;45 anni;831600
Totale;46 anni;867345
Totale;47 anni;908032
Totale;48 anni;943929
Totale;49 anni;937961
Totale;50 anni;946521
Totale;51 anni;954906
Totale;52 anni;945467
Totale;53 anni;969444
Totale;54 anni;960599
Totale;55 anni;963483
Totale;56 anni;971297
Totale;57 anni;967372
Totale;58 anni;978146
Totale;59 anni;915364
Totale;60 anni;881514
Totale;61 anni;860716
Totale;62 anni;831213
Totale;63 anni;807375
Totale;64 anni;768096
Totale;65 anni;756673
Totale;66 anni;738066
Totale;67 anni;720434
Totale;68 anni;704963
Totale;69 anni;669137
Totale;70 anni;653812
Totale;71 anni;646480
Totale;72 anni;663563
Totale;73 anni;660116
Totale;74 anni;679900
Totale;75 anni;654437
Totale;76 anni;642858
Totale;77 anni;486373
Totale;78 anni;490007
Totale;79 anni;481182
Totale;80 anni;464117
Totale;81 anni;452491
Totale;82 anni;479144
Totale;83 anni;450847
Totale;84 anni;413429
Totale;85 anni;357473
Totale;86 anni;309600
Totale;87 anni;289973
Totale;88 anni;253452
Totale;89 anni;217248
Totale;90 anni;183477
Totale;91 anni;155804
Totale;92 anni;134896
Totale;93 anni;100596
Totale;94 anni;77637
Totale;95 anni;58882
Totale;96 anni;42623
Totale;97 anni;30356
Totale;98 anni;20999
Totale;99 anni;14528
Totale;100 anni e più;21872
Totale;Totale;58850717
